oid_ztf,ra,dec,ra_error,dec_error,parallax,parallax_error,pm,pmra_error,pmdec_error,nu_eff_used_in_astrometry,astrometric_sigma5d_max,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,bp_g,g_rp,l,b,ecl_lon,ecl_lat,distance,absmag_g,absmag_bp,absmag_rp
ZTF18adawban,115.6160417,-24.65358333,0.034073837,0.049993172,0.9759132787058259,0.06282914,8.544332,0.041794147,0.06559668,1.5789715,0.09227874,717.0,2075.640326527727,33.69559,17.394487,81.0,1272.1807401034405,65.98088,17.57717,82.0,1452.2965345324037,55.19106,16.842758,0.73441124,0.18268204,0.5517292,240.49853962800225,-0.6647000064117984,123.8443793061606,-45.12883752628004,1024.6812107384335,7.341543517199874,7.524225554553389,6.789814314929366
ZTF18aaadxrj,73.56508333,47.09058333,0.12943028,0.06494097,0.6453454085577417,0.13625859,3.4746072,0.1611775,0.11269618,1.5254952,0.22582653,371.0,998.4005819814049,44.42384,18.189104,41.0,665.0348325451088,90.55981,18.281431,43.0,961.1740544675704,120.77953,17.29089,0.99054146,0.09232712,0.89821434,159.3869266073667,2.1486008280193345,77.79393447964478,24.345268895613025,1549.5577821416016,7.238065202824284,7.330392320744206,6.339850862614323
ZTF18ablpocf,307.9644583,27.47936111,0.09997664,0.14097336,0.37340513584338697,0.18888584,6.014522,0.14499149,0.18204899,1.4565074,0.27556324,583.0,505.20981426809175,7.435182,18.928688,64.0,245.43658342392615,15.6596985,19.363693,60.0,433.9665245171379,17.073692,18.154255,1.2094383,0.4350052,0.77443314,68.8675469322533,-7.157424859998592,319.9859095545239,44.55353303270917,2678.0563629403814,6.789589484188131,7.224594672176412,6.015156348201803
ZTF18abuctsi,288.4025833,0.307388889,0.47950226,0.42389342,0.35158718499387837,0.50377697,0.16564487,0.88173544,0.93280494,,1.551573,142.0,326.5894512663312,20.134304,19.40236,16.0,235.9308324871251,32.27035,19.40658,16.0,388.4557278838084,53.291332,18.274542,1.1320381,0.004219055,1.1278191,35.73999968544926,-4.790956308260244,289.9772487153905,22.479443686870976,2844.2447355338377,7.132526101561169,7.13674515673695,6.004707040281872
ZTF18abtmhfz,339.3035417,70.86508333,0.5189945,0.60898083,-0.3226596402492902,0.7292489,4.6988587,0.40727583,0.6876692,1.5820845,1.1294262,143.0,509.6122493790451,23.819962,18.919268,17.0,361.41271755462463,61.64755,18.943533,17.0,358.3706822567082,40.641735,18.362064,0.5814686,0.02426529,0.5572033,112.30190706260022,10.817205163696062,41.31281226489373,65.90535203756902,-3099.2410430613186,,,
ZTF21acqxojx,112.3112917,-21.49283333,0.16182095,0.1986387,1.0595211666884057,0.29760906,2.889039,0.25562072,0.2935095,,0.41045326,474.0,317.869594829947,1.4372514,19.431744,55.0,88.64119191083446,5.050666,20.469454,55.0,320.7687372111676,6.628872,18.482416,1.9870377,1.0377102,0.94932747,236.25672727616438,-1.780831496490129,118.74393712505388,-42.73118508301711,943.8225789538094,9.557291808297386,10.595001998116722,8.607964339425315
ZTF18aaxczhw,302.9829583,28.30311111,0.022720201,0.02555547,1.0294221443111566,0.037436776,2.0434208,0.02982466,0.031591374,1.5861313,0.044344865,565.0,6660.272287983763,99.47307,16.128637,63.0,3826.545879450609,161.42601,16.381525,64.0,4472.306362487125,184.36168,15.621567,0.75995827,0.25288773,0.50707054,67.04993714717789,-3.060600466472845,314.4261539414619,46.78503837953562,971.4187765692134,6.191604845326783,6.444492571156861,5.684534303944947
ZTF18abavrji,245.8426667,12.22608333,0.07505831,0.08122605,0.5852023097427602,0.1324567,14.590645,0.110745735,0.12141068,1.7139088,0.19232744,164.0,2735.753672781044,27.938393,17.094675,20.0,1866.7666937358224,65.05217,17.160816,20.0,1268.2620799724386,45.034637,16.989874,0.1709423,0.06614113,0.10480118,27.091214649969135,38.33283371209727,241.4107214526793,33.29883547703001,1708.8107537367275,5.931205221983458,5.997346350523497,5.826404044004942
ZTF19aavnmfn,310.143,58.79505556,0.23300967,0.22386418,0.588806385028948,0.22950973,7.5458665,0.34441277,0.2745204,1.4386173,0.5077126,400.0,240.5741201634971,3.238094,19.734245,46.0,112.42858031386143,10.481807,20.21135,48.0,238.70834761125607,12.062201,18.803226,1.408123,0.4771042,0.9310188,95.0279917122727,10.29084560343131,356.03561488195044,70.43844867685901,1698.3511480617456,8.584107854560799,9.061212041572517,7.653089025215095
ZTF17aabvqzm,83.14108333,62.79780556,0.016183047,0.019591393,6.148710526899684,0.03188327,22.05401,0.018620536,0.02359767,1.6695331,0.037520397,621.0,11899.243206884743,98.96161,15.498569,70.0,7737.525904231994,198.65027,15.617037,67.0,7288.93206856456,177.10057,15.091236,0.5258007,0.118468285,0.40733242,149.4642747595054,15.56228710487013,85.94566153032694,39.45506716607221,162.63572591767823,9.442488772452457,9.56095705705939,9.035156352103336
ZTF18aczehur,132.655,4.7325,0.263279,0.13877264,0.9815366222357159,0.32745233,7.149202,0.3981207,0.2907437,,0.6200478,395.0,326.9911263648047,14.107259,19.401028,42.0,232.063558487556,32.292465,19.424524,43.0,312.3415353881889,35.09967,18.511322,0.9132023,0.023496628,0.88970566,222.92453985631474,28.577881185895784,133.7549062491336,-12.465436601319125,1018.8106865765525,9.36056022071375,9.384056848521368,8.470854562754766
